Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Nippon Ichi Software,Hakoniwa Company Works,2017,Strategy,0,0,0.01,0,0.01
Arc System Works,DJ Max Respect,2017,Misc,0,0,0.01,0,0.01
Nordic Games,Battle Worlds: Kronos,2016,Strategy,0.01,0,0,0,0.01
Capcom,Dragon's Dogma Online: Season 3,2017,Role-Playing,0,0,0.01,0,0.01
5pb,Occultic;Nine,2017,Adventure,0,0,0.01,0,0.01
5pb,Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,2017,Adventure,0,0,0.01,0,0.01
M2,Battle Garegga Rev.2016,2016,Strategy,0,0,0.01,0,0.01
5pb,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,2017,Adventure,0,0,0.01,0,0.01
UIG Entertainment,Farming 2017 - The Simulation,2016,Simulation,0,0.01,0,0,0.01
5pb,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,2017,Adventure,0,0,0.01,0,0.01
Rising Star Games,Zombie Vikings,2016,Action,0,0.01,0,0,0.01
Nighthawk Interactive,ATV Renegades,2017,Racing,0.01,0,0,0,0.01
Soedesco,Ziggurat,2016,Shooter,0,0.01,0,0,0.01
5pb,Chaos;Child: Love Chu Chu!!,2017,Visual Novel,0,0,0.01,0,0.01
PQube,Moto Racer 4,2016,Racing,0.01,0,0,0,0.01
Sony Interactive Entertainment,LocoRoco Remastered,2017,Platform,0,0,0.01,0,0.01
THQ Nordic,Lock's Quest,2017,Strategy,0.01,0,0,0,0.01
PQube,Gal Gun: Double Peace,2015,Action,0,0,0.01,0,0.01
Namco Bandai Games,Woodcutter Simulator 2016,2015,Action,0,0.01,0,0,0.01
Acquire,Akiba's Trip 2+A,2017,Adventure,0,0,0.01,0,0.01
Compile Heart,Date-A-Live Twin Edition: Rio Reincarnation,2017,Adventure,0,0,0.01,0,0.01
Kalypso Media,Valhalla Hills,2017,Strategy,0.01,0,0,0,0.01
Tecmo Koei,Deception IV: Blood Ties,2015,Action,0,0,0.01,0,0.01
Namco Bandai Games,One Piece: Unlimited World Red,2017,Action,0,0,0.01,0,0.01
Active Gaming Media,Hyper Light Drifter,2017,Role-Playing,0,0,0.01,0,0.01
Rain Games,Teslagrad,2014,Platform,0,0.01,0,0,0.01
Kadokawa Games,Darius Burst: Chronicle Saviours,2017,Action,0,0,0.01,0,0.01
Team17 Software,The Escapists: The Walking Dead,2016,Action,0,0,0,0,0.01
Team Meat,Super Meat Boy,2016,Platform,0,0,0,0,0.01
Focus Home Interactive,Blood Bowl 2,2015,Sports,0,0,0,0,0
"Thekla, Inc.",The Witness,2016,Misc,0,0,0,0,0
Sony Computer Entertainment,Quantic Dream Collection,2015,Action,0,0,0,0,0
Nippon Ichi Software,Iwaihime: Matsuri,2017,Adventure,0,0,0,0,0
Entergram,RepKiss,2017,Adventure,0,0,0,0,0
DMM Games,War Thunder,2017,Action,0,0,0,0,0
Nippon Ichi Software,Tsuihou Senkyo,2017,Adventure,0,0,0,0,0
Sony Interactive Entertainment,Hustle Kings VR,2016,Sports,0,0,0,0,0
Two Tribes,Toki Tori 2+,2016,Puzzle,0,0,0,0,0
Tecmo Koei,Deception IV: The Nightmare Princess,2015,Action,0,0,0,0,0
Square Enix,Kingdom Hearts HD I.5 + II.5 ReMIX,2017,Action,0,0,0,0,0
Spike Chunsoft,Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015,Action,0,0,0,0,0
,A Boy and His Blob,N/A,Platform,0,0,0,0,0
Microids,Agatha Christie: The ABC Murders,2016,Adventure,0,0,0,0,0
Koch Media,Ancients of Ooga - The Forgotten Chapters,2016,Platform,0,0,0,0,0
,Another World,N/A,Adventure,0,0,0,0,0
,Ape Escape 2,N/A,Platform,0,0,0,0,0
,Bee Tap Extreme,N/A,Action,0,0,0,0,0
Perfect World Entertainment,Blacklight: Retribution,2013,Misc,0,0,0,0,0
BioWare,Bladestorm: The Hundred Years' War,2015,Action,0,0,0,0,0
Ubisoft,Brothers in Arms: Furious 4,2019,Shooter,0,0,0,0,0
,Cel Damage,N/A,Misc,0,0,0,0,0
,Woolfe: The Red Hood Diaries,N/A,Adventure,0,0,0,0,0
,Dark Cloud 2,N/A,Role-Playing,0,0,0,0,0
Sony Online Entertainment,DC Universe Online,2013,MMO,0,0,0,0,0
,Fez,N/A,Misc,0,0,0,0,0
,Guardian Knight,N/A,Misc,0,0,0,0,0
,Heavy Rain,N/A,Adventure,0,0,0,0,0
UIG Entertainment,Industry Giant II,2017,Strategy,0,0,0,0,0
,King's Quest I: Quest for the Crown (VGA Version),N/A,Misc,0,0,0,0,0
Unknown,Kingdom Under Fire II,2014,Misc,0,0,0,0,0
,Ladybug Puzzle,N/A,Misc,0,0,0,0,0
,Maniac Mansion: Day of the Tentacle,N/A,Adventure,0,0,0,0,0
,Metal Slug 3,N/A,Shooter,0,0,0,0,0
Taleworlds,Mount & Blade: Warband,2016,Role-Playing,0,0,0,0,0
,Pier Solar and the Great Architects,N/A,Role-Playing,0,0,0,0,0
,Piggy Adventure,N/A,Misc,0,0,0,0,0
,PlanetSide 2,N/A,Shooter,0,0,0,0,0
Sony Interactive Entertainment,Psychonauts,2017,Action,0,0,0,0,0
Capcom,Resident Evil 5,2016,Action,0,0,0,0,0
,Sound Shapes,N/A,Misc,0,0,0,0,0
,Star Ocean: Till The End of Time,N/A,Role-Playing,0,0,0,0,0
,Super Motherload,N/A,Misc,0,0,0,0,0
Activision,The Amazing Spider-Man 2,2014,Misc,0,0,0,0,0
,The King of Fighters 2000,N/A,Fighting,0,0,0,0,0
,Rack N Ruin,N/A,Adventure,0,0,0,0,0
Soedesco,Ether One,2015,Adventure,0,0,0,0,0
Sony Interactive Entertainment,Uncharted 2: Among Thieves,2016,Action,0,0,0,0,0
Sony Interactive Entertainment,Uncharted 3: Drake's Deception,2016,Action,0,0,0,0,0
,Uncharted Waters Online: Gran Atlas,N/A,Role-Playing,0,0,0,0,0
Sony Interactive Entertainment,Uncharted: Drake's Fortune,2016,Action,0,0,0,0,0
,Werewolves vs Vampires,N/A,Misc,0,0,0,0,0
DTP Entertainment,Awesomenauts,2014,Misc,0,0,0,0,0
,Dust: An Elysian Tail,N/A,Platform,0,0,0,0,0
,Skullgirls,N/A,Fighting,0,0,0,0,0
,flower,N/A,Adventure,0,0,0,0,0
,Gran Turismo HD Concept,N/A,Misc,0,0,0,0,0
,PixelJunk Shooter,N/A,Shooter,0,0,0,0,0
,PixelJunk Shooter 2,N/A,Misc,0,0,0,0,0
,Rainbow Moon,N/A,Role-Playing,0,0,0,0,0
,Dear Esther,N/A,Adventure,0,0,0,0,0
,Oddworld: Abe's Oddysee New N' Tasty!,N/A,Misc,0,0,0,0,0
Nordic Games,Broken Age,2015,Adventure,0,0,0,0,0
,Apotheon,N/A,Platform,0,0,0,0,0
,Two Brothers,N/A,Role-Playing,0,0,0,0,0
Unknown,Slender: The Arrival,2015,Adventure,0,0,0,0,0
Capcom,deep down (Working Title),2020,Misc,0,0,0,0,0
,Hotline Miami,N/A,Action,0,0,0,0,0
,The Unfinished Swan,N/A,Adventure,0,0,0,0,0
Unknown,Human Element,2015,Misc,0,0,0,0,0
Warner Bros. Interactive Entertainment,Whore of the Orient,2020,Misc,0,0,0,0,0
CD Projekt Red Studio,Cyberpunk 2077,2018,Action-Adventure,0,0,0,0,0
Square Enix,Final Fantasy (PS4),2020,Misc,0,0,0,0,0
,Transistor,N/A,Role-Playing,0,0,0,0,0
,The Swapper,N/A,Misc,0,0,0,0,0
,Outlast,N/A,Misc,0,0,0,0,0
Compulsion Games,Contrast,2013,Misc,0,0,0,0,0
,Guacamelee!,N/A,Action,0,0,0,0,0
Stainless Games,Carmageddon: Reincarnation,2015,Misc,0,0,0,0,0
Unknown,Rocketbirds 2: Evolution,2020,Misc,0,0,0,0,0
Unknown,Primal Carnage: Genesis,2020,Misc,0,0,0,0,0
,Doki-Doki Universe,N/A,Misc,0,0,0,0,0
,Hohokum,N/A,Adventure,0,0,0,0,0
,CounterSpy,N/A,Action,0,0,0,0,0
,War Thunder,N/A,Misc,0,0,0,0,0
,Warframe,N/A,Misc,0,0,0,0,0
,The Banner Saga,N/A,Role-Playing,0,0,0,0,0
,BADLAND,N/A,Action,0,0,0,0,0
,Sparkle 2,N/A,Puzzle,0,0,0,0,0
,Daylight,N/A,Misc,0,0,0,0,0
,Peggle 2,N/A,Puzzle,0,0,0,0,0
Square Enix,Kingdom Hearts III,2019,Role-Playing,0,0,0,0,0
,Mercenary Kings,N/A,Misc,0,0,0,0,0
,Secret Ponchos,N/A,Misc,0,0,0,0,0
,Octodad: Dadliest Catch,N/A,Misc,0,0,0,0,0
,Galak-Z,N/A,Action,0,0,0,0,0
,Ray's the Dead,N/A,Misc,0,0,0,0,0
Tecmo Koei,Yaiba: Ninja Gaiden Z,2014,Misc,0,0,0,0,0
,KickBeat,N/A,Misc,0,0,0,0,0
,Tiny Brains,N/A,Puzzle,0,0,0,0,0
,Stick It to the Man,N/A,Misc,0,0,0,0,0
,Aban Hawkins & the 1001 Spikes,N/A,Misc,0,0,0,0,0
,Home - a Unique Horror Adventure,N/A,Misc,0,0,0,0,0
,Soul Saga,N/A,Misc,0,0,0,0,0
FarSight Studios,Pinball Arcade,2013,Misc,0,0,0,0,0
Tecmo Koei,Toukiden: The Age of Demons,2014,Action,0,0,0,0,0
Soedesco,Reus,2016,Strategy,0,0,0,0,0
Capcom,Strider (2014),2014,Platform,0,0,0,0,0
,Rogue Legacy,N/A,Action,0,0,0,0,0
Sony Online Entertainment,EverQuest Next,2019,MMO,0,0,0,0,0
,Project Phoenix,N/A,Misc,0,0,0,0,0
,Defense Grid 2,N/A,Misc,0,0,0,0,0
,Drifter: A Space Trading Game,N/A,Simulation,0,0,0,0,0
,Volume,N/A,Action,0,0,0,0,0
,Hellraid,N/A,Misc,0,0,0,0,0
,SteamWorld Dig: A Fistful of Dirt,N/A,Platform,0,0,0,0,0
,Armikrog,N/A,Adventure,0,0,0,0,0
,Chasm,N/A,Misc,0,0,0,0,0
,XING: The Land Beyond,N/A,Action,0,0,0,0,0
,There Came an Echo,N/A,Misc,0,0,0,0,0
,Strike Suit Zero,N/A,Misc,0,0,0,0,0
,Basement Crawl,N/A,Misc,0,0,0,0,0
Futurlab 1,Velocity 2X,2014,Action,0,0,0,0,0
Sony Computer Entertainment,Helldivers,2015,Action,0,0,0,0,0
,RESOGUN,N/A,Shooter,0,0,0,0,0
,Everybody's Gone to the Rapture,N/A,Adventure,0,0,0,0,0
,Murasaki Baby,N/A,Action,0,0,0,0,0
,Hotline Miami 2: Wrong Number,N/A,Misc,0,0,0,0,0
,Shadow of the Beast (PS4),N/A,Action-Adventure,0,0,0,0,0
Level 5,WonderFlick,2014,Misc,0,0,0,0,0
Nowhere Studios,Monochroma,2014,Misc,0,0,0,0,0
,H-Hour: World's Elite,N/A,Misc,0,0,0,0,0
,SPORTSFRIENDS,N/A,Misc,0,0,0,0,0
,Unmechanical,N/A,Puzzle,0,0,0,0,0
,Divekick,N/A,Misc,0,0,0,0,0
GungHo,Lily Bergamo,2014,Misc,0,0,0,0,0
,Valiant Hearts: The Great War,N/A,Misc,0,0,0,0,0
,OlliOlli,N/A,Sports,0,0,0,0,0
,Switch Galaxy Ultra,N/A,Misc,0,0,0,0,0
,Anomaly 2,N/A,Misc,0,0,0,0,0
,Legend of Raven,N/A,Misc,0,0,0,0,0
,Stealth Inc.,N/A,Misc,0,0,0,0,0
,Night in the Woods,N/A,Adventure,0,0,0,0,0
,Tales from the Borderlands,N/A,Adventure,0,0,0,0,0
,Kodoku,N/A,Misc,0,0,0,0,0
Unknown,Get Even,2015,Misc,0,0,0,0,0
,Ready to Run,N/A,Misc,0,0,0,0,0
,Worms Battlegrounds,N/A,Misc,0,0,0,0,0
,Assassin's Creed Freedom Cry,N/A,Misc,0,0,0,0,0
,Dungeon Defenders II,N/A,Action,0,0,0,0,0
,Razor Global Domination Pro Tour ,N/A,Misc,0,0,0,0,0
,Pavilion,N/A,Misc,0,0,0,0,0
,forma.8,N/A,Misc,0,0,0,0,0
Unknown,TowerFall,2014,Misc,0,0,0,0,0
,Gone Home ,N/A,Adventure,0,0,0,0,0
,Costume Quest 2,N/A,Role-Playing,0,0,0,0,0
,Pure Chess,N/A,Misc,0,0,0,0,0
,Aztez,N/A,Misc,0,0,0,0,0
,Not a Hero,N/A,Misc,0,0,0,0,0
Frictional Games,SOMA (2015),2015,Misc,0,0,0,0,0
Renegade Kid,Cult County,2015,Misc,0,0,0,0,0
,Adr1ft,N/A,Adventure,0,0,0,0,0
MLB.com,R.B.I. Baseball 14,2014,Misc,0,0,0,0,0
,Citizens of Earth,N/A,Misc,0,0,0,0,0
,H1Z1,N/A,Shooter,0,0,0,0,0
Focus Home Interactive,Blue Estate ,2014,Misc,0,0,0,0,0
,Road Not Taken,N/A,Misc,0,0,0,0,0
,Source,N/A,Misc,0,0,0,0,0
,Backgammon Blitz,N/A,Misc,0,0,0,0,0
,Hitman GO,N/A,Puzzle,0,0,0,0,0
,MechRunner,N/A,Misc,0,0,0,0,0
,The Chainsaw Incident,N/A,Misc,0,0,0,0,0
,Chariot,N/A,Adventure,0,0,0,0,0
,Nidhogg,N/A,Action,0,0,0,0,0
,Ironclad Tactics,N/A,Misc,0,0,0,0,0
,MouseCraft,N/A,Misc,0,0,0,0,0
,Starwhal: Just the Tip,N/A,Misc,0,0,0,0,0
,Crimsonland,N/A,Misc,0,0,0,0,0
,VizionEck,N/A,Misc,0,0,0,0,0
Triniti Interactive,Pure Pool ,2014,Misc,0,0,0,0,0
Unknown,Without Memory,2016,Misc,0,0,0,0,0
,Firewatch,N/A,Adventure,0,0,0,0,0
,Never Alone,N/A,Misc,0,0,0,0,0
,The Last Tinker: City of Colors,N/A,Platform,0,0,0,0,0
3D Realms,Bombshell,2014,Misc,0,0,0,0,0
,Red Goddess,N/A,Platform,0,0,0,0,0
Endnight Games Ltd ,The Forest,2015,Action,0,0,0,0,0
,Fenix Rage,N/A,Misc,0,0,0,0,0
,EarthNight,N/A,Action,0,0,0,0,0
,One Way Trip,N/A,Adventure,0,0,0,0,0
,Shiness: The Lightning Kingdom,N/A,Role-Playing,0,0,0,0,0
,Aaru's Awakening,N/A,Action,0,0,0,0,0
Little Orbit,Falling Skies: The Game ,2015,Role-Playing,0,0,0,0,0
,Onigiri,N/A,Role-Playing,0,0,0,0,0
,Loadout,N/A,Shooter,0,0,0,0,0
,Entwined,N/A,Action,0,0,0,0,0
EA Sports,EA Sports PGA Tour,2015,Sports,0,0,0,0,0
Deep Silver,Dead Island 2,2017,Action,0,0,0,0,0
,Magicka 2,N/A,Action,0,0,0,0,0
,Broforce,N/A,Action,0,0,0,0,0
,Inside,N/A,Platform,0,0,0,0,0
,Blast 'Em Bunnies,N/A,Action,0,0,0,0,0
,Woah Dave!,N/A,Action,0,0,0,0,0
,The Assembly,N/A,Adventure,0,0,0,0,0
Ubisoft,Tetris Ultimate ,2014,Puzzle,0,0,0,0,0
Versus Evil,Afro Samurai 2,2015,Action,0,0,0,0,0
Activision,The Legend of Korra (2014),2014,Action,0,0,0,0,0
The Astronauts,The Vanishing of Ethan Carter ,2015,Adventure,0,0,0,0,0
Namco Bandai Games,Godzilla (2014),2014,Action,0,0,0,0,0
Sony Computer Entertainment,Gran Turismo 7,2020,Racing,0,0,0,0,0
,Rollers of the Realm,N/A,Role-Playing,0,0,0,0,0
,Q*bert: Rebooted,N/A,Action,0,0,0,0,0
,AirMech Arena,N/A,Action,0,0,0,0,0
,The Walking Dead: Season Three,N/A,Action,0,0,0,0,0
,Toren,N/A,Adventure,0,0,0,0,0
,Pneuma: Breath of Life,N/A,Puzzle,0,0,0,0,0
,#killallzombies,N/A,Action,0,0,0,0,0
,The Escapists,N/A,Action,0,0,0,0,0
,The Tomorrow Children,N/A,Strategy,0,0,0,0,0
,Hollowpoint,N/A,Action,0,0,0,0,0
,In Space We Brawl,N/A,Shooter,0,0,0,0,0
Sony Interactive Entertainment,Wild,2019,Adventure,0,0,0,0,0
,Alienation,N/A,Shooter,0,0,0,0,0
,Ubusuna,N/A,Shooter,0,0,0,0,0
,PIX the CAT,N/A,Action,0,0,0,0,0
,Game 4,N/A,Strategy,0,0,0,0,0
,Titan Souls,N/A,Action,0,0,0,0,0
,OniKira: Demon Killer,N/A,Action,0,0,0,0,0
,Moon Hunters,N/A,Action,0,0,0,0,0
,Salt and Sanctuary,N/A,Action,0,0,0,0,0
,Alone With You,N/A,Adventure,0,0,0,0,0
Deep Silver,Tadeo Jones y el manuscrito perdido,2014,Adventure,0,0,0,0,0
,Invokers Tournament,N/A,Action,0,0,0,0,0
PQube,OlliOlli 2: Welcome to Olliwood,2016,Sports,0,0,0,0,0
Ice-pick Lodge,Pathologic,2015,Adventure,0,0,0,0,0
,Soma,N/A,Action,0,0,0,0,0
Double Damage Games,Rebel Galaxy,2015,Role-Playing,0,0,0,0,0
,I Am Bread,N/A,Simulation,0,0,0,0,0
,Geometry Wars 3: Dimensions,N/A,Shooter,0,0,0,0,0
,Primal Carnage: Extinction,N/A,Shooter,0,0,0,0,0
Ubisoft,Assassin's Creed: Victory,2015,Action,0,0,0,0,0
Konami Digital Entertainment,Silent Hills,2020,Action,0,0,0,0,0
,The Banner Saga 2,N/A,Role-Playing,0,0,0,0,0
,Enter the Gungeon,N/A,Shooter,0,0,0,0,0
,What Remains of Edith Finch,N/A,Adventure,0,0,0,0,0
,Wattam,N/A,Action,0,0,0,0,0
,Fat Princess Adventures,N/A,Action,0,0,0,0,0
,Skytorn,N/A,Action,0,0,0,0,0
,Kill Strain,N/A,Shooter,0,0,0,0,0
,Drawn to Death,N/A,Shooter,0,0,0,0,0
,Grow Home,N/A,Platform,0,0,0,0,0
,Apotheon,N/A,Action,0,0,0,0,0
,Hunger,N/A,Action-Adventure,0,0,0,0,0
,Magic Duels: Origin,N/A,Misc,0,0,0,0,0
,Shiftlings,N/A,Platform,0,0,0,0,0
,Oceanhorn: Monster of Uncharted Seas,N/A,Action,0,0,0,0,0
,Beyond Eyes,N/A,Adventure,0,0,0,0,0
,Inside My Radio,N/A,Platform,0,0,0,0,0
,Tembo the Badass Elephant,N/A,Platform,0,0,0,0,0
,Assassin's Creed Chronicles: Russia,N/A,Action,0,0,0,0,0
,Assassin's Creed Chronicles: India,N/A,Action,0,0,0,0,0
Codemasters,Overlord: Fellowship of Evil,2015,Action,0,0,0,0,0
MLB.com,R.B.I. Baseball 15,2015,Sports,0,0,0,0,0
,Krinkle Krusher,N/A,Strategy,0,0,0,0,0
Wander MMO,Wander,2015,Role-Playing,0,0,0,0,0
,Trans-Galactic Tournament,N/A,Action,0,0,0,0,0
,The Walking Dead: Michonne,N/A,Adventure,0,0,0,0,0
,Unravel,N/A,Platform,0,0,0,0,0
,Tachyon Project,N/A,Action,0,0,0,0,0
Square Enix,Final Fantasy VII Remake,2019,Role-Playing,0,0,0,0,0
Square Enix,Ikenie to Yuki no Setsuna,2016,Role-Playing,0,0,0,0,0
Gust,Atelier Sophie,2020,Role-Playing,0,0,0,0,0
Sega,Dengeki Bunko: Fighting Climax Ignition,2015,Action,0,0,0,0,0
Konami Digital Entertainment,World Soccer Winning Eleven 2015,2015,Action,0,0,0,0,0
,Muse: Together Is the New Alone,N/A,Adventure,0,0,0,0,0
Sinxsoft,Cross Reverie,2017,Role-Playing,0,0,0,0,0
Cygames,Airship Q,2019,Platform,0,0,0,0,0
Unknown,Killing Bites,2016,Action,0,0,0,0,0
,Hatsune Miku: Project Diva Future Tone,N/A,Music,0,0,0,0,0
Unknown,Tiny Troopers Joint Ops,2014,Action,0,0,0,0,0
Sony Computer Entertainment,The London Heist,2016,Shooter,0,0,0,0,0
Deep Silver,Risen 3 Enhanced Edition,2015,Role-Playing,0,0,0,0,0
Kalypso Media,Air Conflicts: Pacific Carriers,2015,Simulation,0,0,0,0,0
Kadokawa Games,God Wars: Beyond Time,2016,Role-Playing,0,0,0,0,0
Ubisoft,Hasbro Family Fun Pack,2015,Misc,0,0,0,0,0
Namco Bandai Games,Professional Lumberjack 2016,2015,Simulation,0,0,0,0,0
Maximum Games,Alekhine's Gun,2016,Action,0,0,0,0,0
Little Orbit,Kung Fu Panda: Showdown of Legendary Legends,2015,Action,0,0,0,0,0
,Read Only Memories,N/A,Adventure,0,0,0,0,0
,Shakedown Hawaii,N/A,Action,0,0,0,0,0
,Fallen Legion,N/A,Role-Playing,0,0,0,0,0
,Amplitude (2016),N/A,Misc,0,0,0,0,0
Sony Computer Entertainment,Bloodborne: Complete Edition,2015,Role-Playing,0,0,0,0,0
,Hardware: Rivals,N/A,Action,0,0,0,0,0
,Jikkyou Powerful Pro Baseball Success Special,N/A,Sports,0,0,0,0,0
,Qurare: Magic Library,N/A,Action,0,0,0,0,0
Soedesco,World to the West,2017,Action-Adventure,0,0,0,0,0
,The Binding of Isaac: Rebirth,N/A,Action,0,0,0,0,0
,De-formers,N/A,Action,0,0,0,0,0
,Rock of Ages II: Bigger and Boulder,N/A,Action,0,0,0,0,0
,Fe,N/A,Action,0,0,0,0,0
Sony Interactive Entertainment,Days Gone,2019,Action-Adventure,0,0,0,0,0
Tecmo Koei,Berserk Musou,2016,Action,0,0,0,0,0
PQube,Ginger: Beyond the Crystal,2016,Platform,0,0,0,0,0
Sony Interactive Entertainment,The Last of Us: Part II,2019,Action,0,0,0,0,0
Tru Blu Entertainment,Don Bradman Cricket 17,2016,Sports,0,0,0,0,0
Bandai Namco Games,Ace Combat 7: Skies Unknown,2019,Shooter,0,0,0,0,0
,Sakuna: Of Rice and Ruin,N/A,Action,0,0,0,0,0
Deep Silver,Metro Exodus,2019,Shooter,0,0,0,0,0
Electronic Arts,Anthem,2019,Role-Playing,0,0,0,0,0
Unknown,Moons Of Madness,2017,Role-Playing,0,0,0,0,0
Unknown,Iron Harvest,2018,Strategy,0,0,0,0,0
THQ Nordic,Biomutant,2018,Action,0,0,0,0,0
THQ Nordic,Biomutant,2019,Action,0,0,0,0,0
THQ Nordic,de Blob,2017,Platform,0,0,0,0,0
Daedalic Entertainment,Chaos on Deponia,2017,Adventure,0,0,0,0,0
Bandai Namco Entertainment,Code Vein,2018,Action,0,0,0,0,0
,Fallen Legion: Flames of Rebellion,N/A,Role-Playing,0,0,0,0,0
Tammeka Games,Radial G Racing Revolved,2017,Racing,0,0,0,0,0
,The Mummy Demastered,N/A,Action,0,0,0,0,0
,Project Nimbus: Code Mirai,N/A,Action,0,0,0,0,0
,Battle Chef Brigade,N/A,Action,0,0,0,0,0
